election,t_cost,i_cost,o_cost,e_cost,c_cost
1990,7264303,5701608,1562695,0,1562695
1992,19756814,11069033,8687781,0,8687781
1994,9564615,5244986,4319629,0,4319629
1996,29550100,21833799,7716301,0,7716301
1998,16745441,11821271,4924170,0,4924170
2000,54553937,36705700,17848237,0,17848237
2002,30921652,20221211,10700441,0,10700441
2004,448162560,316776801,131385759,100218129,31167630
2006,299794320,268336407,31457913,15152326,16305587
2008,585216369,440378334,144838035,119256138,25581897
2010,479303715,391041376,88262339,74453972,13808367
2012,1343854307,1311770564,32083743,26267598,5816145
