type,election,t_cost,i_cost,o_cost,e_cost,c_cost,d_for,d_against,r_for,r_against
All  ,1990,7264303,5701608,1562695,0,1562695,11279956,740469,13833910,867203
All  ,1992,19756814,11069033,8687781,0,8687781,36929230,1548160,42313963,927304
All  ,1994,9564615,5244986,4319629,0,4319629,23971336,1139307,25522557,614589
All  ,1996,29550100,21833799,7716301,0,7716301,29210310,6498817,42125090,5038018
All  ,1998,16745441,11821271,4924170,0,4924170,26315167,412326,26783120,2293813
All  ,2000,54553937,36705700,17848237,0,17848237,47045411,1486736,48001212,7372486
All  ,2002,30921652,20221211,10700441,0,10700441,24301819,491030,25965231,1803707
All  ,2004,448162560,316776801,131385759,100218129,31167630,178596762,65876567,79093794,82233920
All  ,2006,299794320,268336407,31457913,15152326,16305587,58299737,107894579,47715061,104663662
All  ,2008,585216369,440378334,144838035,119256138,25581897,155690608,162212773,56405303,140747252
All  ,2010,479303715,391041376,88262339,74453972,13808367,45191861,156076242,40641742,149134679
All  ,2012,1343854307,1311770564,32083743,26267598,5816145,102920772,622975251,210547931,422222101
