id,group,total,lean
1,None,1578,None
2,American Bridge 21st Century,38295,Liberal
3,American Crossroads,64097.55,Conservative
4,Campaign For Community Change,15120.62,Liberal
5,Citizenlink (formerly Focus On The Family Action),100826.93,Conservative
6,Communications Workers Of America Working Voices,2539.53,Liberal
7,Conservative Majority Fund,38631.67,Conservative
8,Democratic Senatorial Campaign Committee,2330374.04,Liberal
9,"Endorse Liberty, Inc",3087.7,Conservative
10,Faith Family Freedom Fund,11538,Liberal
11,Fidelis,4005,Conservative
12,Freedom's Defense Fund,185562.15,Liberal
13,Freedomworks For America,15191.09,Conservative
14,International Association Of Firefighters Interested In Registration And Education Pac,221675.36,Liberal
15,Majority Pac,2974076.17,Conservative
16,Missouri Farm Bureau Federation Statewide Farm  Pac,24152.78,Liberal
17,Naral Pro-choice America,23695.53,Conservative
18,National Rifle Association Institute For Legislative Action,131131.1,Liberal
19,National Rifle Association Of America Political Victory Fund,212687.91,Conservative
20,National Right To Life Political Action Committee,41965.88,Liberal
21,Nfib The Voice Of Free Enterprise Inc.,10453,Conservative
22,Now Or Never Pac,693840,Liberal
23,Our Country Deserves Better Pac - Teapartyexpress.Org,81091.82,Conservative
24,Patriot Majority Usa,201715,Liberal
25,Planned Parenthood Action Fund Inc.,159669.8,Conservative
26,Planned Parenthood Votes,64600,Liberal
27,Red White And Blue Fund,77023,Conservative
28,Reinventing A New Direction - Randpac,100000,Liberal
29,Seiu Cope (service Employees International Union Committee On Political Education),494316.93,Conservative
30,Senate Conservatives Fund,90178.59,Liberal
31,Service Employees International Union Pea - Federal,53963.86,Conservative
32,Susan B Anthony List Inc,610.37,Liberal
33,Tea Party Victory Fund,1171.91,Conservative
34,The Conservative Strikeforce,1720.01,Liberal
35,The Voices Of The American Federation Of Government Employees,83333,Conservative
36,Us Chamber Of Commerce,740195,Liberal
37,Winning Our Future,56410.33,Conservative
38,Women Vote!,505267,Liberal
39,Working America,94789.16,Conservative
