type,cycle,total,indexp,,,,,
All  ,1990,7264303,5701608,,,,,
All  ,1992,19756814,11069033,,,,,
All  ,1994,9564615,5244986,,,,,
All  ,1996,29550100,21833799,,,,,
All  ,1998,16745441,11821271,,,,,
All  ,2000,54553937,36705700,,,,,
All  ,2002,30921652,20221211,,,,,
All  ,2004,448162560,316776801,,,,,
All  ,2006,299794320,268336407,,,,,
All  ,2008,585216369,440378334,,,,72.6,57
All  ,2010,479303715,391041376,,,,197.6,110.7
All  ,2012,1343854307,1311770564,,,,95.6,52.4
,,,,,,,295.5,218.3
,,,,,,,167.5,118.2
,,,,,,,545.5,367.1
,,,,,,,309.2,202.2
,,,,,,,4481.6,3167.8
,,,,,,,2997.9,2683.4
,,,,,,,5852.2,4403.8
,,,,,,,4793,3910.4
,,,,,,,13438.5,13117.7
